(page,page_write)
(ndef,ndef_write)
(erase,erase_write)
(getHandle,GetHandle)
(getHandleConst,GetHandleConst)
(toString,ToString)
(addTextRecord,AddTextRecord)
(addUriRecord,AddUriRecord)
(addEmptyRecord,AddEmptyRecord)
(addMimeMediaRecord,AddMimeMediaRecord)
(getEncodedSize,GetEncodedSize)
(getRecordCount,GetRecordCount)
(getRecords,GetRecords)
(getRecord,GetRecord)
(toString,ndef_to_string)
(toHex,ndef_to_hex)
(status,status)
(read,read)
(write,write)
