(addFontMapping,AddFontMapping)
(addColorSpaceMapping,AddColorSpaceMapping)
(addPatternMapping,AddPatternMapping)
(addPropertyMapping,AddPropertyMapping)
(addXObjectMapping,AddXObjectMapping)
(addShadingMapping,AddShadingMapping)
(read,Read)
(notEnded,NotEnded)
(getWriteStream,GetWriteStream)
(getPDFLevel,GetPDFLevel)
(getPagesCount,GetPagesCount)
(getTrailer,GetTrailer)
(queryDictionaryObject,QueryDictionaryObject)
(queryArrayObject,QueryArrayObject)
(parseNewObject,ParseNewObject)
(getPageObjectID,GetPageObjectID)
(parsePageDictionary,ParsePageDictionary)
(parsePage,ParsePage)
(getObjectsCount,GetObjectsCount)
(isEncrypted,IsEncrypted)
(getXrefSize,GetXrefSize)
(getXrefEntry,GetXrefEntry)
(getXrefPosition,GetXrefPosition)
(startReadingFromStream,StartReadingFromStream)
(getParserStream,GetParserStream)
(addAdditionalInfoEntry,AddAdditionalInfoEntry)
(removeAdditionalInfoEntry,RemoveAdditionalInfoEntry)
(clearAdditionalInfoEntries,ClearAdditionalInfoEntries)
(getAdditionalInfoEntry,GetAdditionalInfoEntry)
(getAdditionalInfoEntries,GetAdditionalInfoEntries)
(setCreationDate,SetCreationDate)
(setModDate,SetModDate)
(writeKey,WriteKey)
(writeNameValue,WriteNameValue)
(writeRectangleValue,WriteRectangleValue)
(writeLiteralStringValue,WriteLiteralStringValue)
(writeBooleanValue,WriteBooleanValue)
(writeObjectReferenceValue,WriteObjectReferenceValue)
(getCurrentPageContentStream,GetCurrentPageContentStream)
(getAssociatedPage,GetAssociatedPage)
(getObjectID,GetObjectID)
(getVersion,GetVersion)
(getInfoDictionary,GetInfoDictionary)
(toJSArray,ToJSArray)
(getLength,GetLength)
(toText,ToText)
(setPosition,SetPosition)
(setPositionFromEnd,SetPositionFromEnd)
(skip,Skip)
(setToCurrentTime,SetToCurrentTime)
(openFile,OpenFile)
(closeFile,CloseFile)
(getFilePath,GetFilePath)
(getOutputStream,GetOutputStream)
(getStreamContentStart,GetStreamContentStart)
(calculateTextDimensions,CalculateTextDimensions)
(getFileSize,GetFileSize)
(getInputStream,GetInputStream)
(getResourcesDictionary,GetResourcesDictionary)
(createFormXObjectFromPDFPage,CreateFormXObjectFromPDFPage)
(mergePDFPageToPage,MergePDFPageToPage)
(appendPDFPageFromPDF,AppendPDFPageFromPDF)
(mergePDFPageToFormXObject,MergePDFPageToFormXObject)
(getSourceDocumentParser,GetSourceDocumentParser)
(copyDirectObjectAsIs,CopyDirectObjectAsIs)
(copyObject,CopyObject)
(copyDirectObjectWithDeepCopy,CopyDirectObjectWithDeepCopy)
(copyNewObjectsForDirectObject,CopyNewObjectsForDirectObject)
(getCopiedObjectID,GetCopiedObjectID)
(getCopiedObjects,GetCopiedObjects)
(replaceSourceObjects,ReplaceSourceObjects)
(getSourceDocumentStream,GetSourceDocumentStream)
