(setWorkdir,SetWorkdir)
(state,State)
(stateCleanup,StateCleanup)
(workdir,Workdir)
(wrapOdb,WrapOdb)
(cleanup,Cleanup)
(getReferences,GetReferences)
(getSubmodules,GetSubmodules)
(getRemotes,GetRemotes)
(refreshReferences,RefreshReferences)
(setIndex,SetIndex)
(submoduleCacheAll,SubmoduleCacheAll)
(submoduleCacheClear,SubmoduleCacheClear)
(aheadBehind,AheadBehind)
(descendantOf,DescendantOf)
(origin,Origin)
(oldLineno,OldLineno)
(newLineno,NewLineno)
(numLines,NumLines)
(contentLen,ContentLen)
(contentOffset,ContentOffset)
(content,Content)
(cherrypick,Cherrypick)
(addEntry,AddEntry)
(fromRepository,FromRepository)
(resolveSignature,ResolveSignature)
(addRule,AddRule)
(clearInternalRules,ClearInternalRules)
(pathIsIgnored,PathIsIgnored)
(clone,Clone)
(headToIndex,HeadToIndex)
(parent,Parent)
(len,Len)
(apply,Apply)
(drop,Drop)
(foreach,Foreach)
(pop,Pop)
(save,Save)
(features,Features)
(opts,Opts)
(shutdown,Shutdown)
(fromBlobs,FromBlobs)
(fromDiff,FromDiff)
(getHunk,GetHunk)
(getLineInHunk,GetLineInHunk)
(numHunks,NumHunks)
(numLinesInHunk,NumLinesInHunk)
(convenientFromDiff,ConvenientFromDiff)
(hide,Hide)
(hideGlob,HideGlob)
(hideHead,HideHead)
(hideRef,HideRef)
(push,Push)
(pushGlob,PushGlob)
(pushHead,PushHead)
(pushRange,PushRange)
(pushRef,PushRef)
(repository,Repository)
(reset,Reset)
(simplifyFirstParent,SimplifyFirstParent)
(sorting,Sorting)
(commitWalk,CommitWalk)
(fastWalk,FastWalk)
(fileHistoryWalk,FileHistoryWalk)
(name,signature)
(email,signature)
(date,signature)
(signature,signature)
(commit,GitCommit)
(reachedEndOfHistory,baton)
(add,Add)
(clear,Clear)
(entryCount,Entrycount)
(getByIndex,GetByIndex)
(ancestor,Ancestor)
(ours,Ours)
(theirs,Theirs)
(containsData,ContainsData)
(isGitfile,IsGitfile)
(matchDiff,MatchDiff)
(matchIndex,MatchIndex)
(matchTree,MatchTree)
(matchWorkdir,MatchWorkdir)
(matchesPath,MatchesPath)
(addFinalize,AddFinalize)
(addSetup,AddSetup)
(addToIndex,AddToIndex)
(branch,Branch)
(fetchRecurseSubmodules,FetchRecurseSubmodules)
(headId,HeadId)
(ignore,Ignore)
(indexId,IndexId)
(location,Location)
(reload,Reload)
(repoInit,RepoInit)
(resolveUrl,ResolveUrl)
(setBranch,SetBranch)
(setFetchRecurseSubmodules,SetFetchRecurseSubmodules)
(setIgnore,SetIgnore)
(setUpdate,SetUpdate)
(setUrl,SetUrl)
(sync,Sync)
(update,Update)
(updateStrategy,UpdateStrategy)
(url,Url)
(wdId,WdId)
(lines,Lines)
(amend,Amend)
(author,Author)
(authorWithMailmap,AuthorWithMailmap)
(body,Body)
(committerWithMailmap,CommitterWithMailmap)
(createBuffer,CreateBuffer)
(createV,CreateV)
(createWithSignature,CreateWithSignature)
(extractSignature,ExtractSignature)
(headerField,HeaderField)
(messageEncoding,MessageEncoding)
(messageRaw,MessageRaw)
(nthGenAncestor,NthGenAncestor)
(parentId,ParentId)
(parentcount,Parentcount)
(rawHeader,RawHeader)
(summary,Summary)
(time,Time)
(timeOffset,TimeOffset)
(treeId,TreeId)
(signature,baton)
(signedData,baton)
(lookupByPath,LookupBypath)
(shortId,ShortId)
(string2Type,String2type)
(type2String,Type2string)
(typeisloose,Typeisloose)
(write,Write)
(addAll,AddAll)
(addByPath,AddBypath)
(caps,Caps)
(checksum,Checksum)
(conflictAdd,ConflictAdd)
(conflictCleanup,ConflictCleanup)
(conflictGet,ConflictGet)
(conflictRemove,ConflictRemove)
(entryIsConflict,EntryIsConflict)
(entryStage,EntryStage)
(find,Find)
(findPrefix,FindPrefix)
(getByIndex,GetByindex)
(getByPath,GetBypath)
(hasConflicts,HasConflicts)
(read,Read)
(readTree,ReadTree)
(removeAll,RemoveAll)
(removeByPath,RemoveBypath)
(removeDirectory,RemoveDirectory)
(setCaps,SetCaps)
(setVersion,SetVersion)
(updateAll,UpdateAll)
(writeTree,WriteTree)
(writeTreeTo,WriteTreeTo)
(oidCalculations,OidCalculations)
(compress,Compress)
(fromAnnotated,FromAnnotated)
(toTree,ToTree)
(byIndex,Byindex)
(file,File)
(foreachExt,ForeachExt)
(shouldIgnore,ShouldIgnore)
(addDiskAlternate,AddDiskAlternate)
(existsPrefix,ExistsPrefix)
(hashfile,Hashfile)
(read,OdbRead)
(readPrefix,ReadPrefix)
(local,Local)
(oid,Oid)
(loid,Loid)
(symrefTarget,SymrefTarget)
(commitCreate,CommitCreate)
(commitIteratorNew,CommitIteratorNew)
(commitRead,CommitRead)
(commitRemove,CommitRemove)
(defaultRef,DefaultRef)
(createUpdated,CreateUpdated)
(entryById,EntryByid)
(_entryByIndex,EntryByindex)
(_entryByName,EntryByname)
(entryByPath,EntryBypath)
(entryCmp,EntryCmp)
(level,Level)
(revert,Revert)
(buffer,Buffer)
(getHunkByIndex,GetHunkByindex)
(getHunkByLine,GetHunkByline)
(getHunkCount,GetHunkCount)
(fromFetchhead,FromFetchhead)
(fromRef,FromRef)
(fromRevspec,FromRevspec)
(ref,Ref)
(copy,Copy)
(strings,Strings)
(isLocked,IsLocked)
