(runGC,runGC)
(setSEGV,setSEGV)
(runSEGV,runSEGV)
(setBacktrace,setBacktrace)
(backtrace,backtrace)
(takeSnapshot,TakeSnapshot)
(getSnapshot,GetSnapshot)
(findSnapshot,FindSnapshot)
(getSnapshotsCount,GetSnapshotsCount)
(deleteAllSnapshots,DeleteAllSnapshots)
(getProfilesCount,GetProfilesCount)
(getProfile,GetProfile)
(findProfile,FindProfile)
(startProfiling,StartProfiling)
(stopProfiling,StopProfiling)
(deleteAllProfiles,DeleteAllProfiles)
