@nodriverai/mavjs
@noliaki/css-cubic-bezier-variable
@noqcks/generated
@norah/style
@nornagon/runas
@nornagon/spellchecker
@nouvellecuisine/gphoto2
@npilots/norc
@ns8/switchboard-project-support
@ntit365/react-native-template-ntit365
@ntlab/dplib
@nuage/vscode
@nuclearpowered/dropship-native-addon
@nv4re/node-rdkafka
@nxtedition/node-libcurl
node-proxy
indy-sdk
@oconnorct1/webp-js
curve25519-n2
@octoput/rf24-gateway
@oleavr/prebuild
@omneedia/node-sass
@omneedia/nodegit
@omneedia/socketcluster
@opendrives/getent
foundationdb
@openland/foundationdb-core
rpi-ws281x
@openst/mosaic-chains
@openzim/libzim
@opstarts/chimp
@ronomon/reed-solomon
sqlanywhere
node-linux-pam
@oxyflour/ncc
@p0x6/process_watcher
@paddek/pcsclite
webkitgtk
@pake/bcrypt
@pake/node-printer
@palettegear/boost
@palettegear/serialport-bindings
@pandorajs/diag-probe
@pano.video/robotjs
@parcel/source-map
oniguruma
@patrickkettner/get-cursor-position
@paulbgd/node-dds-opt
@paulbgd/node-nif
@paulcbetts/gc
@paulcbetts/node-sass
@paulcbetts/spellchecker
@paulcbetts/system-idle-time
@paulcbetts/v8-profiler
electron-overlay-window
@pavelg/grpc
@pergy/native-huron
@perspective/perspective
@pfitzseb/node-pty-prebuilt
gphoto2
ad-block
@pipcook/boa
@pipcook/boa-cloud
fasttext
@pirxpilot/leveldown
@pitzzae/volume-list
@pjaromin/fast-xml2js
@stdlib/stdlib
pcsclite
curve25519-n
ed25519-hap
@plt4rm/plt4rm
react-styleable
@pm2/node-runtime-stats
@pnpm/bundled
@pokt-network/ed25519
@pokusew/buffertools
@pokusew/usb
murmurhash3
@polkajs/thresh-sig
@pragli/electron-panel-window
@pre-bundled/heapwolf-hyperdrive
@pre-bundled/hyperswarm-replicator
@primecode/async-qrcode
@primephonic/libxmljs
@prodisign/couchbase
applicationinsights-native-metrics
@pruthvikar/noble
@pubgcorp/node-xed
@pubgcorp/pulsar-client
@puerts/unreal-v8
@pulumi/iopipe
@puyodead1/discord-game
@puzli/core
@pyramation/pg-query-native
pg-plpgsql-query-native
@quan-to/chevronlib
@quanitux/nsfw
@quantfive/react-native-fast-image
@quentinadam/sqlite
@queryfiit/pg-parser
@quirk0.o/random-runner
@qujingling/sqlite3
msgpackr-extract
@radarlabs/s2
@rafaeltaranto/camera-wrapper
@rafaeltaranto/lamassu-camera-wrapper
@rafaeltaranto/supyo
font-manager
@raghb1/node-memwatch
@rainblock/ethereum-block
bigint-hash
@ran-j/qdesktopwidget
@randy.tarampi/lwip
@ratanakvlun/node-odbc
@sapphire/type
@ravendevkit/node-x16r
@raygun-nickj/mmap-io
nbind
@reconbot/bindings-cpp
@recurrent-cyclical/cdk-util
@red-mobile/nodejs-mobile-cordova
@redisrupt/bunyan-syslog
@reglendo/mergado-ui-kit
@repledev/rinku_mousemgr
@repledev/rinku_native_addons
@repledev/rinku_winswitcher
@require-x/python
krb5
@revolugo/ortools
@rezonant/macadam
@ridi/react-webviewer
@rikishi/secure-env
@rikumi/ffi
@rikumi/ref
@ripreact/hsl
@risingstack/event-loop-stats
@risingstack/gc-stats
@risingstack/microtime
@risingstack/v8-profiler
@ritksm/printer
@rmfitzpatrick/jaeger-client
lmdb-store
@robin-rpr/node-gpu
@robinsage/eccrypto
cld_lib
clear-env
client-login-signup
client-session
nan-async-example
clientlinker-benchmark
clipboard-data
clipboard-file
clipboard-files
clipboard_ext
clipem
clipper
cloak-builder
clogger
clone-music
closeheat-builder
geoip
clostridium
cloud-diagnostics
gencore
cloudberry
cloudcv-bootstrap
node-dbus
cloudpurge_robotjs
cloudworker-proxy
clr
clucene
clusterws-uws
cm256
cmake-node
cmake2json
cmapi-kotlin
cmapi-kotlin-test.js
cmark
cmdmp3
cnos
cnvs2
register-scheme
msgpack-bin
cocos-creator
httpsync
http-sync
rsuite-theme
code-tokenizer
codecadon
codes
coinchat-js-sdk
coinevo-launcher
coinicles-launcher
node-libuuid
fds
collection
com.izaakschroeder.dbus
com.react-native.doc-preview-example
cominterop
