availvideobuffer
image-m
@theace0296/steamworks
@wangziwenhk/llvm-bindings
@tech9app/whisper.js
hid-input
node-portmapping
@persidius/node-jsonnet
kuzu
tinycv
cmsn-pc-ble-driver-js
@duck4i/llama
@teradataprebuilt/fastcall-darwin-node-v51
@teradataprebuilt/fastcall-win32-node-v47
napi-addon-fdtd
mmd-js
@teradataprebuilt/fastcall-darwin-node-v64
custom-koya-node-llama-cpp
czy-first-package-windows
@myscada/embedjs
gmagick
pathfind-extra
libzt
@ikonopistsev/node-rapidjson
awe-nng
@faceunity/virtualcamera
@acalcutt/maplibre-gl-native
automately-lib-win32
@udarrr/prebuild
@faceunity/cnama
audify9
circt
nodevisiondb
@rushikesh.halle/cmake-js-module
w1druppel
@ingstory/prebuild
celaris-cli
ccurl-prizz
magnumintegrationjs
@teradataprebuilt/fastcall-win32-node-v67
@minecraftts/glfw
node-libnftables
mp4decryptjs
electron-profiler
@aiorosdev/nodegui-plugin-webview
@nrwlia/enet-node
robot-ts
@boltboris/nodegui
zoin
libshout-node
@minecraftts/opengl
@lilithmod/unborn-lib-inject
@lord_ne/jpeg-turbo
@vixen-js/core
@desktop.vision/libnut-win32
@maximumquiet/posix
@o2ter/lang-vector
whisper-addon
cld3
openrpg-libs
create-celaris
@vapourisation/steganography
node-imebra
@teradataprebuilt/fastcall-win32-node-v59
@judgeq/simple-sandbox
awe-sqlite3
@faceunity/frame
rsocket-rpc-protobuf
@sleipnirgroup/trajoptlib
@teradataprebuilt/fastcall-win32-node-v57
@lungchen/llvm-node
quiad
@native-bindings/libzip
quail-server
@soyjak/utils
libdivecomputerjs
automately-lib-linux
reliance-dicom-dimse-native
@arition/prebuild
lightgbm
@vencord/venmic
@teradataprebuilt/fastcall-darwin-node-v57
node-ffmpeg
@novadynamics/rtp
@teradataprebuilt/fastcall-darwin-node-v47
@df-legacy/jpeg-turbo-fulll
electron-staff
whisper-node-addon
automately-lib-darwin
@desktop.vision/libnut-darwin
disk-tool
pimatic-rtl433
@lmagder/node-stable-diffusion-cpp
querymimedb
node-dwmapi
libcaption-node
chatglmjs
@teradataprebuilt/fastcall-darwin-node-v67
@aibrow/node-llama-cpp
pimatic-efergye2
@point3/dguard
@di9/jpeg-turbo
libopusenc
invodb
tal-usbs
couchbase-columnar
mrthinger-webtransport-transport-http3-quiche
nodegui-plugin-svg
@opendesign/engine-source
@ilb/posix
mp4decrypt-buffer
@teradataprebuilt/fastcall-win32-node-v64
unabto
@there-so/libnut
@teradataprebuilt/fastcall-darwin-node-v48
@vhs/node-nfc-nci
cp2102n
@teradataprebuilt/fastcall-darwin-node-v59
@shiftkey/prebuild
@freik/is-hidden-file
simpleble
universal-clipboard-js
node-stomptalk
@markusjx/shared_memory
@native-bindings/libopus
@xiaobaidadada/prebuild
@desktop.vision/libnut-linux
live-elements-js-compiler
libwebview-nodejs
nodejs-ecal
@equicord/equimic
cronet
webbluetooth
node-libzip
sdl2-gamecontroller
@teradataprebuilt/fastcall-win32-node-v48
@frida/prebuild
ac-node-duckdb
@teradataprebuilt/fastcall-win32-node-v51
@rev-robotics/rhsplib
accel-sort
@stoneydsp/cmodule
knal
@native-bindings/imagemagick6
@nodeml/opencv
@segevfiner/pcre2
llama.cpp-ts
gsw-node
@audc/libsamplerate
