0x-monorepo-development
sqlite3
leveldown
deasync
iconv
@discordjs/opus
bufferutil
utf-8-validate
libxmljs
posix
nice-napi
lzma-native
rpio
ganache-cli
keccak
usb
blake-hash
secp256k1
argon2
native-watchdog

