rectangle_highlight
recvfrom
red-contrib-lazurite
red_pericot
reddcore
redobj
redux-form-react-submitbutton
redux-webextension
reee
ref-array-atom-shell
ref-atom-shell
ref-bitfield
ref-fork-elbywan
ref-struct-atom-shell
ref-union-napi
ref2
refx-cpuid
refx-file-utilities
refx-preferences
registry-changes-detector
regmon
relu-core
rem-linux
reobservable
repeat-text
repl_queue
replace-line
reportgg
req-sync
require-node-example
resampler
reset-date-cache
reset-v8-timezone
residue-native
resin-crc-utils
resource-guard
rest-mongo
rest-sugar
restack-mobile-cli
restgen
resumable-hash
rewire-react-scripts
rexec
rf-heapdump
rf1996
rf24js
rfb-protocols
rfcomm
rfid-rc522
rgb565_bmp
ribs
richzmq
right-trim
riks
ripperjs
riscv-simulator
rjtestaaaaaa
tcl
rmns
rms-sparklines-temp
rn-blur-view
rn-customviews
rn-fab
rn-inspection-realm
rn-zalo
rn_supermap
rnly-fast-image
robotjs-custom-unicode
robotjs-node10
robotjs-node12
robotjs-shade
robotjs_head_2017-12-01
robotn-fork
robotois-as-ph-sensor
robotois-as-temperature-sensor
robotois-button
robotois-digital-io
robotois-distance-sensor
robotois-lcd-display
robotois-led
robotois-light-sensor
robotois-line-sensor
robotois-line-sensors
robotois-motion-sensor
robotois-motor-controller
robotois-motors
robotois-relay
robotois-rgb-leds
robotois-rotary-sensor
robotois-rotatory-sensor
robotois-servo-controller
robotois-servos
robotois-sound-sensor
robotois-temperature-sensor
robotois-ws2811
rocksdb-lite
rocksdb-node
rocksdb-ts
rocksdown
roderic
rollsum
rootjs
rot13
route_annotator
rpi-acu-rite-temperature
rpi-dht-sensor
rpi-led-matrix
rpi-matrix
rpi-mfrc522-nodejs
rpi-pins
rpi-rgb-led-matrix
rpi-sk6812
rpi-sk6812-native
rpi-ws281x-v2
rpio-sunxi
rrdjs
rrdtools
rs-carousel
rsa
ursa-ssl
rsa-keypair
rstats
rsvg
rtlsdr
rtmidi
rtoken-analytics
rtp-ogg-opus
ruff-vm
runas-compiled
runas-redux
runsa-zeromq
runsys
rusage
rusage2
rw2fn
rxfusion-pi
rxfusion-udoo
shm-typed-array
s2cellid-node
s2geo
sabarish
sack-gui
sae_j2534_api
safari-push-notifications
safari-push-package
sage-js-osa-tree-sitter
sails-config
sample-greet
sample-nodejs-function
sanathapi
sanathweb
sandedit
sane_aes128_cbc
sankyo-ict3k
santosh-posix
sapnwrfc
sapase
snowflake-node
sasl
sasljs
wasi
satoshi-hdkey
satoshi-key
wake-lock
saxon-java
saxon-node
sayhello2
sbffi
sbinlignum
sc-link
sc-uws
sc2api
sc4
scalc-core
scan-git-folders
scanahedron
scandir-native
scep
scep-bb
scep-bb2
scep-bb3
scholar-cli
scid
syslog-bindings
screcorder1.0
screen-avg-color
screen-recorder
screenjs
scrollbar-style
scrumpoker
scrypt-hash
scrypt-jane-hash
scrypt256-hash
scws
sdb
sdk-bnr
sdknodebranch
sdl-mixer-multi-channels-player
sdl-speaker
sdl2-bindings
