libpq
libqpdf
libquoted
libraw
libraw.js
librdkafka-node
libroboint
libscp
libshout
libsmc
libsodium-prebuilt
libsvr
libtf
libtkdnn
libtorrent
libtorrent-bindings
libtorrent-native
libtrt
libui
libui-napi
libui-node
libuiohook-node
libusbjs
libusdt
libuv-fs
libuv_ex
libuv_thread
libvirt
libxl
libxml
libxml-xsd-propel
libxml2-nodejs
libxmljs2-xsd
libxmljs3
node1-libxmljsmt
node1-libxmljsmt-myh
libxsltjs
libyang
libyang-dev
libyuv
libzim
light-search
xattr-async
lightfold
lightning-spell
lil
limi-react-ui-components
line-in
ling-cet-decoder
ling-cet-decoder-ddmax-updated
linguist-samples
linkhuang-test-addon
linux-devnode
linux-device
linux-gpib
linux-keyboard-catcher
linux-node-clipboard
linux-ns
linux-perf
linux-util
linux-xorg-screencapture
linuxcam
list-transitions
litecoin-scrypt
litl-parser
livetex-node-pg
livingcolors
lixin-builder-webpack
liyahng
lizhhh
pty.js-next
sysconfx-next
node-zlib-backport
lkl
llnode
llvm
llvm-bindings
llvm-node
llvm-x
lmake
lmbed
lmbrn-pcm-utils
lmdb-lib
nnu
lmdb-store-0.9
lml-main
lnc_czb
lnguid
lnklib
load-avarage
resources
lockjs
log4cxx
logentries-node-libdtrace
syslog-stream
msgpack2
logicsim
logiled
logitech-led
logpp
logs_cppaddon
lolcerts
longlat-calc
longpaste
loole
looped-back
lora-comms
lorawancrypto
lot-gpio
unomp-multi-hashing
lowdb-fsshell
lp_solve
lpt
lru-addon
lru-native
lru-native3
lru-node-addon
ls-trace
lua
tree-sitter-lua
luac
luanode
luckzhiwei-gcanvas
luckzhiwei-lib
lucyjs
node-xxhash
lunamoonsbutton
luvdbie
luvit-redis
lvge-utils
lweditor
lwes
lwip-79
lwip-decoder
lwip-encoder
lwip-image
lwip-lmn
lx-scan
lxc-hello-world
lymui-node
lyra2
lyra2re2-hash
lz4-clib
lzfse
lzh
lzma-native-preview
lzma-nativez
lzmahx
lzo-decompress
m2m-can
maestro-node
maestro-servo-controller
uvrun-12
magic-qr-code
mhash
node-crc
magick-cli
magick-compare
magicklib-native
mailautomation
maildir-utils
mal
malgo
mam-project-templates
manifestparser
mano10
statvfs
mao_test_hello
mapcache
mapnik-fid
mapnik-fork
mappedbuffer
mapserv
maptalks-java
marchingcubes
marcs-glsl-optimizer
mariinsky
marisa-trie
markdom
pikchr
marker-index
markin-couchbase
marklib
maschinenstadt-fuse
uname2
matcher-window
matchup
material-parser
negin
mathematical
matplotnode
matriks-nemo1
matrix-lite-js
max31855pi
max6675-raspberry-pi
unixlib
mbus_wm_gb
mc-nodegit
mceliece-nist
mcnet
