@0x/fast-abi
@0x/neon-router
@1kbirds/chidori
@2060.io/ffi-napi
@2060.io/ref-napi
@3xpo/argon2
4lex_b4yc_02
4lex_b4yc_04
@4players/odin-nodejs
@abandonware/bluetooth-hci-socket
active-win-beta
active-win-nhm
@adeperio/forcefocus
@adobe-fixed-uxp/uxp-devtools-helper
@adobe/uxp-devtools-helper
@aeolun/muhammara
@aimelo/lua
@akiroz/bluetooth-hci-socket
@alexssmusica/ref-napi
ali-sqlite3
ali-usb_ctl
ali-zeromq
@aluckylife/node-ctp-sdk
anakketiga
anaklanangtea
anakwadontea
@anchor-protocol/anchor-earn
android-logger
@apminsight/native-stats
@apoorva2405/uxp-devtools-helper
@archwayhq/keyring-go
@ardatan/node-libcurl
argon2-node
aries-askar-test-nodejs
@ashlesss/opencc
@ashok_gujjar92/symbology_18
atzneextracter
@au-re/libpg-query
@automattic/yara
axon-webtorrent
@ayushmw/libxmljs
@aztec/native
b1nz_d4_p03t_07
@backbonedao/network-node
@backbonedao/secret-stream
@balena/systemd
@baliset/mmap-io
@bananalf/relayer-utils
bbpolymer
bcrypt-deterministic
bcrypto
bcrypt-updated
better-sqlite3-multiple-ciphers
bglobal-signal
@bladcoin/fast-abi
@bodaz/sqlite3
@bonsaiswapv2/core
@bonsaiswapv3/core
@borealisswap/borealis-swap-lib
@breush/ref-napi
brinedb
@browser-network/network
@bsktfi/connect-sdk
@bubuzi/bindings-cpp
@bymiroslavsky/graphicsnative
@camol/file-lock
@camol/mmap
canvas-mirror
canvas-npmmirror
canvas-termuc
canvas-zj-node-v1
@cathodique/mmap-io
cbor-extract
@cbrewster/luna
@celo/ganache-ethereum-transaction
cemento-paid
@chakra-swap/core
chdb-node
chinese-dictionary
@chirpstack/chirpstack-api
@chris.troutner/ipfs-daemon
c-kzg
classic-level
clipboard-readfile-electron
@cloudpss/zstd
cmsn-bluetooth-hci-socket
cmsn-noble
cmsn-nrf-ble-driver-js
@cocalc/fuse-native
codify-node
@codspeed/core
@confluentinc/kafka-javascript
@contrast/code-events
@contrast/distringuish
@contrast/distringuish-prebuilt
@contrast/fn-inspect
@contrast/stash
@controlhome/sodium-native
coquisttjs
corradejs
cortex-cpp
@cosmicmedia/bcrypt
cotrader-dex-sdk
cozo-node
cpu-instructions
@crankk.io/chirpstack-api-fork
cryptian
@ctiterm/bindings-cpp
cu0ng_pr0_4
cu0ng_pr0_8
cue-cove
cyberzone
cycgods
cypher-parser
cz-pipcook-boa-no-leak
@damonsmith/node-printer
@datadog/native-appsec
@datadog/native-iast-rewriter
@datadog/native-iast-taint-tracking
@datadog/native-metrics
@datadog/pprof
@datadog/wasm-js-rewriter
@dataee/sockopt
datagram
@dbswnsdud123/electron-overlay-window
debugdevlist
@deepfocus/get-windows
@deniz073/system-receipt-printer
@derealize/nodegit
@derealize-temp/nodegit
@derekstride/tree-sitter-sql
@descript/sqlite3
@distributed/vercel-builder
@div_arora/libpg-query
@doorose/doorose-node-sqlite-tokenizer
@doyensec/electronegativity
@dozerjs/log
duckdb-bobsled-dev
duckdb-dev
dynamics-contracts-x
easy-libcurl
@ecervo/canvas
@elchetz/cld
@eleccookie/ffi-napi
@eleccookie/ref-napi
electron-node-ref
electron-opus
@electron-prebuilds-preview/parcel-watcher
electron-ref
@elemental-zcash/zingo-node
@eliteswap/v2-core
embeddable-wg
enefti-galeri
@energypatrikhu/ref-napi
enn-sqlite3-binary
enn-sqlite3-integer-plus
@esfx/equatable
@eshirazi/wrtc
everything-json
evmhuma
@evolvingriley/file-upload
@exogress/exogress
exprtk.js
@fails-components/webtransport
@fails-components/webtransport-transport-http3-quiche
faiss-node
@farcaster/rocksdb
fast-abi
fast-text-win
ffi-napi-v22
fib-fasttext
fib-jieba
@figma/nodegit
@findy-network/findy-common-ts
fixed-node-canvas
@fork-anyone/sqlcipher
@foxitsoftware/foxit-pdf-conversion-sdk-node
@foxitsoftware/foxit-pdf-sdk-node
frida
fsuipc
@galihrivanto/node-libcurli
gambit_03
gambit_04
@gamergenic/js-spice
gamrs-inc-electron-overlay-window
@ganache/ethereum-transaction
@ganache/secp256k1
gassefals
@gcas/fuse-native
gdal-enhanced-seraph
gdal-exprtk
gdal-next-northpool
gemma.cpp
gen-pdf
genshin-impact-auto-track
gerimismalamsenin
@getinsomnia/node-libcurl
@gfcittolin/usb
@git-glint/nodegit
glacyr-cli
gl-client
@goblinalchemist/nodejieba
go-text-template-napi
gpt4all
gpt-tfjs
@graphprotocol/cost-model
@graphprotocol/indexer-native
@gregnr/libpg-query
grpc
grpc-tools
h04ng_s0n_m
h04ng_s0n_n
h04ng_s0n_p
h0akyl4n_08
h0akyl4n_09
haakco-symbology-test
@hakerzp/node-gist
hardhat-teaplug
hardhat-teaxyz
@herb-tools/node
@hikariworkshop/nut-tree__node-mac-permissions
@hirosystems/stacks-devnet-js
hnswlib-node
hnswlib-node-prebuilt
hoangnh_1
ho_co_may_1
@homebridge/bluetooth-hci-socket
@hubo99/gdal-async
@hurdlegroup/robotjs
@hyperledger/aries-askar-nodejs
@hyperledger/aries-askar-react-native
@hyperledger/indy-vdr-nodejs
@hyperledger/indy-vdr-react-native
@hyperlimit/core
@hzab/canvas
@iac-factory/node-libgit2
ibmmq
@iborsuchenko/maplibre-gl-native
@imblackops/common
@imblackops/nestjs-common
@indutny/simple-windows-notifications
indy-vdr-test-nodejs
indy-vdr-test-react-native
@inigolabs/ffi-napi
@inigolabs/ref-napi
@insp/active-win
inspect-promise
iot-canvas
ipfs-daemon
@ironcorelabs/recrypt-node-binding
@irsdk-node/native
@jameshenry/nx-project-graph
@jazzer.js/fuzzer
jeetah
@jellybrick/ffi-napi
@jellybrick/ref-napi
@jitsi/electron-sdk
@jitsi/robotjs
@johnlindquist/node-window-manager
journeyapps-sqlcipher-alt
jsfuckcanvas
jstsec_sqlite3
@julusian/skia-canvas
jwtrust
kafirchain-tetris
@kastakin/jeol_parser
kh4nh_kh1_04
kh4nh_kh1_05
kh4nh_kh1_06
kh4nh_kh1_10
@khulnasoft/nft
@kikani.ishvar92/symbology_master
kikitrack
kinect-node
@kleros/archon
koa-canvas
@kodinghandle/bullswap-lib
@koordinates/mapnik
@koush/opencv4nodejs
@koush/wrtc
@kungfu-trader/libnode
@kuyoonjo/serialport-bindings-cpp
@kwaight/node-linux-pam
l1l_kn1ght_07
l1l_kn1ght_09
@ladvace/get-windows
@larriereguichet/ffi-napi
leapdbgen
libfortuna
libpg-query-win
libtidy
@liskhq/lisk-db
lmdbx
@loancrate/kafka-javascript
locus
@long2ice/nodegit
@lotekid/node-printer
@loudplay/lp-checker
@louislam/sqlite3
@ltxhhz/skia-canvas-for-koishi
luck-node-msprint
@lukmanukir/gagalmuludah
@lumiastream/logitech-sdk
@lwahonen/ffi-napi
@lwahonen/ref-napi
m4u_th3_05
mac-coreaudio-driver-manager
macos-notification-state
macos-touchid
@makandz/gc-stats
@makeomatic/ffi-napi
@makeomatic/node-rdkafka
