cppzst
@discordjs/opus
@dooub/rocksdb-nodejs
grpc-zjl
libtidy-updated
libxmljs
mc-nodegit
microvium
@muchmore/opus
node-libtidy
node-libxml
node-opus
playcap
poke-opus
@sosuisen/nodegit
tree-sitter-4dm
tree-sitter-agda
tree-sitter-hacklang
tree-sitter-hla-assembly
tree-sitter-pascalabcnet
tree-sitter-pts
tree-sitter-regent
tree-sitter-regex-unicode-js
tree-sitter-spiral
tree-sitter-verilog
tree-sitter-zig
zucc
