sqlite3_blob_open
sqlite3_prepare_v2
sqlite3_column_int64
sqlite3_result_blob
sqlite3_value_bytes
sqlite3_aggregate_context
sqlite3_blob_close
sqlite3_bind_blob
sqlite3_backup_finish
sqlite3_bind_int
sqlite3_stmt_readonly
sqlite3_bind_parameter_index
sqlite3_changes
sqlite3_bind_text
sqlite3_close_v2
sqlite3_complete
sqlite3_backup_pagecount
sqlite3_bind_double
sqlite3_result_error
sqlite3_step
sqlite3_backup_remaining
sqlite3_column_text
sqlite3_column_blob
sqlite3_backup_init
sqlite3_blob_bytes
sqlite3_value_text
sqlite3_libversion
sqlite3_column_type
sqlite3_exec
sqlite3_reset
sqlite3_create_function
sqlite3_column_name
sqlite3_backup_step
sqlite3_column_decltype
sqlite3_expanded_sql
sqlite3_errmsg
sqlite3_clear_bindings
sqlite3_result_null
sqlite3_value_int
sqlite3_blob_read
sqlite3_result_int64
sqlite3_column_int
sqlite3_column_double
sqlite3_column_count
sqlite3_get_autocommit
sqlite3_result_double
sqlite3_bind_null
sqlite3_blob_write
sqlite3_open_v2
sqlite3_result_text
sqlite3_errstr
sqlite3_last_insert_rowid
sqlite3_finalize
sqlite3_sourceid
sqlite3_value_subtype
sqlite3_value_double
sqlite3_column_bytes
sqlite3_column_value
sqlite3_sql
sqlite3_bind_parameter_name
sqlite3_errcode
sqlite3_result_int
sqlite3_value_type
sqlite3_value_int64
sqlite3_enable_load_extension
sqlite3_initialize
sqlite3_bind_int64
sqlite3_value_blob
sqlite3_total_changes
sqlite3_free
sqlite3_bind_parameter_count
sqlite3_load_extension
